linha,scenario,date_range,limit_ms,days_exceeding,total_days,n_cells,pct
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP2-4.5,2031-2050,6.642035007476807,1285,7305,1,17.59
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP2-4.5,2041-2060,6.642035007476807,1383,7305,1,18.93
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP3-7.0,2021-2040,6.642035007476807,991,7305,1,13.57
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP3-7.0,2031-2050,6.642035007476807,1130,7305,1,15.47
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP3-7.0,2041-2060,6.642035007476807,1239,7305,1,16.96
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,historical,1995-2014,6.642035007476807,731,7305,1,10.01
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP1-2.6,2021-2040,6.642035007476807,1026,7305,1,14.05
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP1-2.6,2031-2050,6.642035007476807,1024,7305,1,14.02
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP1-2.6,2041-2060,6.642035007476807,1057,7305,1,14.47
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP2-4.5,2021-2040,6.642035007476807,1235,7305,1,16.91
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP2-4.5,2031-2050,6.642035007476807,1285,7305,1,17.59
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP2-4.5,2041-2060,6.642035007476807,1383,7305,1,18.93
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP3-7.0,2021-2040,6.642035007476807,991,7305,1,13.57
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP3-7.0,2031-2050,6.642035007476807,1130,7305,1,15.47
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP3-7.0,2041-2060,6.642035007476807,1239,7305,1,16.96
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,historical,1995-2014,6.269565748606484,731,7305,1,10.01
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP1-2.6,2021-2040,6.269565748606484,707,7305,1,9.68
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP1-2.6,2031-2050,6.269565748606484,755,7305,1,10.34
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP1-2.6,2041-2060,6.269565748606484,572,7305,1,7.83
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP2-4.5,2021-2040,6.269565748606484,828,7305,1,11.33
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP2-4.5,2031-2050,6.269565748606484,954,7305,1,13.06
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP2-4.5,2041-2060,6.269565748606484,1074,7305,1,14.7
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP3-7.0,2021-2040,6.269565748606484,697,7305,1,9.54
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP3-7.0,2031-2050,6.269565748606484,777,7305,1,10.64
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP3-7.0,2041-2060,6.269565748606484,828,7305,1,11.33
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,historical,1995-2014,5.885856525922718,731,7305,1,10.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP1-2.6,2021-2040,5.885856525922718,923,7305,1,12.64
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP1-2.6,2031-2050,5.885856525922718,968,7305,1,13.25
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP1-2.6,2041-2060,5.885856525922718,1010,7305,1,13.83
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP2-4.5,2021-2040,5.885856525922718,1331,7305,1,18.22
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP2-4.5,2031-2050,5.885856525922718,1505,7305,1,20.6
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP2-4.5,2041-2060,5.885856525922718,1606,7305,1,21.98
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP3-7.0,2021-2040,5.885856525922718,880,7305,1,12.05
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP3-7.0,2031-2050,5.885856525922718,975,7305,1,13.35
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP3-7.0,2041-2060,5.885856525922718,1116,7305,1,15.28
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,historical,1995-2014,5.885856525922718,731,7305,1,10.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP1-2.6,2021-2040,5.885856525922718,923,7305,1,12.64
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP1-2.6,2031-2050,5.885856525922718,968,7305,1,13.25
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP1-2.6,2041-2060,5.885856525922718,1010,7305,1,13.83
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP2-4.5,2021-2040,5.885856525922718,1331,7305,1,18.22
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP2-4.5,2031-2050,5.885856525922718,1505,7305,1,20.6
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP2-4.5,2041-2060,5.885856525922718,1606,7305,1,21.98
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2021-2040,5.885856525922718,880,7305,1,12.05
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2031-2050,5.885856525922718,975,7305,1,13.35
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,SSP3-7.0,2041-2060,5.885856525922718,1116,7305,1,15.28
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,historical,1995-2014,5.902946679848927,900,7305,2,12.32
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2021-2040,5.902946679848927,1187,7305,2,16.25
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2031-2050,5.902946679848927,1275,7305,2,17.45
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP1-2.6,2041-2060,5.902946679848927,1371,7305,2,18.77
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2021-2040,5.902946679848927,1927,7305,2,26.38
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2031-2050,5.902946679848927,2227,7305,2,30.49
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP2-4.5,2041-2060,5.902946679848927,2371,7305,2,32.46
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2021-2040,5.902946679848927,1234,7305,2,16.89
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2031-2050,5.902946679848927,1418,7305,2,19.41
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,SSP3-7.0,2041-2060,5.902946679848927,1629,7305,2,22.3
