linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,n_cells,pct
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2031-2050,314.8139344377335,41.66393443773353,134,7305,2,1.83
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2041-2060,314.8139344377335,41.66393443773353,104,7305,2,1.42
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP2-4.5,2021-2040,314.8139344377335,41.66393443773353,88,7305,2,1.2
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP2-4.5,2031-2050,314.8139344377335,41.66393443773353,119,7305,2,1.63
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP2-4.5,2041-2060,314.8139344377335,41.66393443773353,176,7305,2,2.41
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2021-2040,314.8139344377335,41.66393443773353,129,7305,2,1.77
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2031-2050,314.8139344377335,41.66393443773353,128,7305,2,1.75
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2041-2060,314.8139344377335,41.66393443773353,136,7305,2,1.86
LT 88 kV CANOAS II / DECASA C 1 SP,historical,1995-2014,314.4534579264323,41.303457926432316,74,7305,1,1.01
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2021-2040,314.4534579264323,41.303457926432316,80,7305,1,1.1
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2041-2060,314.4534579264323,41.303457926432316,69,7305,1,0.94
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2021-2040,314.4534579264323,41.303457926432316,62,7305,1,0.85
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
