linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,pct
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,0,7305,0.0
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,4,7305,0.05
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,7,7305,0.1
LT 88 kV OURINHOS / CHAVANTES C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,17,7305,0.23
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,16,7305,0.22
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,17,7305,0.23
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,17,7305,0.23
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,22,7305,0.3
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,28,7305,0.38
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,32,7305,0.44
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,13,7305,0.18
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,13,7305,0.18
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,21,7305,0.29
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,189,7305,2.59
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,201,7305,2.75
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,238,7305,3.26
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,212,7305,2.9
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,156,7305,2.14
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,211,7305,2.89
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,309,7305,4.23
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,241,7305,3.3
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,222,7305,3.04
